RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later
94611-2019-09,Oakland,CA,3095.0,38684.0,45.0,120601.0,1903.0,1835.0,23.0,1994.0,27.0,0.5021,2574.0,677.0,0.5256953779340295,6519.0,10617.0,2163.0,0.04218897425529047,1.6602876362792856,0.15248830284985113,0.3258188005104211,0.5939664977768586,0.324242580912005,0.45993175473063796,0.04562609864543481,0.02455028849417355,0.004782338951504498,0.06803846551545858,0.1473994416296143,0.07305345879433357,0.22851977881752447,0.09255515118839017,0.03859476786268225,0.08295419294798884,0.002375834370403892
92128-2018-09,San Diego,CA,2198.0,49522.0,43.3,96026.0,354.0,1117.0,87.0,58.0,259.0,0.3831,2363.0,421.0,0.5312588344574128,11736.0,14067.0,4082.0,0.059670863096412646,1.7417992535847575,0.22547604637087387,0.08966897900274687,0.5399620370744316,0.31174023666249345,0.3217357941924801,0.08093372642461936,0.04421289777527457,0.002847219417632567,0.02164694479221356,0.22745446468236338,0.09682565324502242,0.008100935797755948,0.07269426575634398,0.07762206696013893,0.06716206938330439,0.0
37212-2019-09,Nashville,TN,1551.0,20902.0,24.9,59889.0,184.0,1341.0,0.0,850.0,0.0,0.5322,2764.0,2017.0,0.5122476318055689,2572.0,3138.0,1897.0,0.04460093896713615,1.5443221320973348,0.5275781910397295,0.029585798816568046,0.42981532867668165,0.18735049277581092,0.261219022103148,0.04669409625873122,0.11076764554353426,0.0015309539756961056,0.14969859343603484,0.07315089465122955,0.043249449813414984,0.024091293322062553,0.08476786645800731,0.11152042866711319,0.21753899148406852,0.02228232869654817
44102-2017-09,Cleveland,OH,825.0,45069.0,33.7,25853.0,0.0,1923.0,0.0,1220.0,11.0,0.4924,17735.0,836.0,0.513324014289201,8182.0,10163.0,8785.0,0.15123411354826047,1.1158021712907118,0.25562347188264056,0.10213936430317848,0.5528855754509752,0.09620803656615412,0.05567019459051676,0.2041314428986665,0.2025360734586795,0.0023297610330826066,0.25358894140096294,0.014178260001331293,0.24646652909982472,0.12059902200488998,0.02954021296432602,0.16871907519581086,0.0729548026359582,0.0
6854-2015-09,Norwalk,CT,1843.0,27246.0,37.6,56127.0,151.0,740.0,43.0,2437.0,15.0,0.5035,4282.0,266.0,0.49677016809806945,5024.0,4231.0,4857.0,0.1325235347707258,1.4028244209076035,0.244877123897032,0.1283453657113688,0.5967848491521691,0.19228510607061586,0.12119210159289437,0.21206782646994055,0.04780255821580846,0.005982529545621376,0.2261249357703883,0.0613301035014314,0.32096454525434925,0.11813607525705534,0.016459155784998483,0.07791969463407472,0.05670557146003083,0.008445391931780911
92507-2018-09,Riverside,CA,1463.0,57347.0,25.6,42957.0,47.0,1490.0,308.0,809.0,17.0,0.4623,15544.0,1802.0,0.5060596020715992,10753.0,8948.0,4764.0,0.14864380022962112,1.6667261373773417,0.2947992454863918,0.14969011048234976,0.43601234589429266,0.10221981969414268,0.09801733307758034,0.11306607145971019,0.115,0.006172947146319773,0.07948105393481786,0.12052940868746403,0.5110119099516975,0.02555465732506961,0.03089121699196326,0.09705825936840637,0.14370411704186792,0.0036842105263157894
77098-2016-09,Houston,TX,1442.0,13091.0,35.4,82017.0,241.0,3313.0,41.0,1167.0,0.0,0.496,1080.0,268.0,0.4706286761897487,1553.0,2257.0,1599.0,0.05369329586511441,1.3997002248313766,0.32353974013812475,0.06578485309610207,0.7285157741960125,0.3477198075013368,0.5088992437552518,0.024215109617294325,0.09943757030371203,0.00725689404934688,0.028263692613245742,0.06386066763425254,0.09976319608891605,0.051738265246400565,0.06995182657567242,0.16163776640439997,0.13734626842869146,0.03498312710911136
33407-2017-09,West Palm Beach,FL,1471.0,30142.0,32.6,32869.0,72.0,1322.0,122.0,844.0,14.0,0.4719,8737.0,384.0,0.5107822971269326,8222.0,6528.0,3806.0,0.17041500994035785,1.3554462794581554,0.2590058203555136,0.1213622778039956,0.5417689602547939,0.13655364607524384,0.08466591467055935,0.17998142127264283,0.2024567115583839,0.01094817862119302,0.5897087120960786,0.0029195142989848055,0.1643553845133037,0.05167531854648419,0.026590457256461232,0.07335279676199323,0.10732532678654369,0.0
85018-2017-09,Phoenix,AZ,1231.0,37978.0,39.4,54176.0,433.0,2069.0,58.0,468.0,53.0,0.549,6211.0,312.0,0.5135341513507821,6781.0,11793.0,2911.0,0.062468351516825484,1.5818391083111218,0.32081539216220634,0.0546138333242492,0.5780715150876824,0.24058665543209226,0.19398072568329033,0.13128653430933698,0.13935665502320005,0.014218758228448048,0.026173047553846963,0.028964137132023803,0.21449260097951445,0.031067749495830382,0.07844220411545366,0.10279635578492811,0.07175206698614987,0.0013555080548459412
77056-2017-09,Houston,TX,1399.0,18685.0,40.5,93143.0,421.0,6466.0,25.0,69.0,0.0,0.5405,801.0,465.0,0.4797966283114798,2884.0,3364.0,516.0,0.049233750220186716,1.4973162675474814,0.36578893651765665,0.052765870585833846,0.6187316028900187,0.3776291142627776,0.3700829542413701,0.056087770939256085,0.20778477389811104,0.0005887075194005887,0.05046829007225047,0.1348140219427348,0.15012041744715013,0.030822616860583792,0.06993130174387881,0.11806261707251806,0.09012576933369013,0.006132962629814376
27707-2017-09,Durham,NC,1049.0,48731.0,33.1,45615.0,111.0,498.0,367.0,982.0,110.0,0.5126,9160.0,673.0,0.5200796207752765,11656.0,12234.0,4524.0,0.05689826943655216,1.5586076953589845,0.3421586871933683,0.08111994586364406,0.5681393773983706,0.19864152182389033,0.2399294083848064,0.10061357246927008,0.08331439480023635,0.004288851039379451,0.40785126510845254,0.03884590917485789,0.14939155773532248,0.040898325156487905,0.04830080070846094,0.1353347971517104,0.11540908251421067,0.0020908140539066407
