RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
33065-2017-09,Coral Springs,FL,1548.0,56087.0,34.0,49392.0,37.0,1758.0,65.0,59.0,17.0,0.4508,7992.0,518.0,0.5166616149909962,13188.0,7800.0,5312.0,0.12025750792457762,1.6809854346836597,0.2207135353849745,0.2056180212426565,0.5240964929484551,0.16934405477205056,0.07550769340488883,0.17617273164904526,0.09313244930602137,0.012195339383457843,0.29554085616987896,0.040009271310642386,0.28118815411771003,0.020542349142123488,0.022515604065226628,0.07655963057392977,0.09642163068090644,0.0,1533.0,1.0,0.0,0.0,0.0
80111-2014-09,Greenwood Village,CO,1340.0,28854.0,40.0,93096.0,495.0,1475.0,17.0,25.0,19.0,0.4655,1228.0,338.0,0.4985097386844112,4617.0,7720.0,1133.0,0.04601394361927857,1.9053878751189135,0.3290396450551024,0.10011449835408616,0.5806473972412837,0.2909821861786927,0.3312538989394885,0.06810147639841962,0.056774614568888174,0.012892493241838221,0.011055659527275248,0.07042351147154641,0.061689887017397936,0.030556748246743957,0.09372537132464384,0.017501906148194357,0.11741872877244056,0.0023656089403703397,1409.3741496598639,0.0,3.0,1.0,0.0
44118-2017-09,Cleveland Heights,OH,933.0,39856.0,34.3,55892.0,35.0,1396.0,36.0,3281.0,5.0,0.4856,6645.0,787.0,0.5321657968687274,9806.0,12300.0,2989.0,0.08701583434835566,1.5093029183127311,0.2653846153846154,0.08978185993111366,0.5167101565636291,0.2009484142914492,0.28367121637896425,0.0981784423926134,0.14090212393255966,0.0041649939783219595,0.3699317543155359,0.023459454034524287,0.02100060216780409,0.053501722158438576,0.04842874543239952,0.02644520272982738,0.11152649538338016,0.0007116268885482811,722.0,0.0,0.0,1.0,0.0
95050-2014-09,Santa Clara,CA,2389.0,36587.0,34.0,65371.0,98.0,1219.0,0.0,1339.0,0.0,0.4355,4563.0,619.0,0.4934539590564955,8672.0,6846.0,3509.0,0.08474076983503535,1.6582485594365797,0.3167523965396306,0.07709843348141221,0.5592696859540274,0.19444064831770846,0.1628720583813923,0.13881979938229425,0.029681783668116243,0.00628638587476426,0.03473911498619728,0.19567059338016235,0.32456883592532865,0.054945054945054944,0.03549685781618225,0.04124415776095335,0.1283789324076858,0.0037274798094843646,1409.3741496598639,0.0,2.0,0.0,0.0
29615-2016-09,Greenville,SC,975.0,34669.0,41.3,50394.0,49.0,898.0,249.0,94.0,32.0,0.5001,3302.0,190.0,0.5218783351120597,5705.0,9389.0,2485.0,0.06686798964624678,1.5953327349660211,0.36965339233038347,0.04437069813176008,0.5238685857682656,0.2981914678819695,0.1954195390694857,0.13138538752199372,0.10066881918819187,0.007932158412414549,0.11269433788110415,0.04309325333871759,0.06452450315844126,0.0009832841691248774,0.04551337359792925,0.01946984337592662,0.16017191150595633,0.0043242619926199275,1464.0,2.0,0.0,1.0,0.0
66614-2014-09,Topeka,KS,840.0,31569.0,39.2,54518.0,22.0,548.0,34.0,183.0,122.0,0.4251,3259.0,172.0,0.5245969146947955,6818.0,10166.0,2034.0,0.04559793518784055,1.747707736389685,0.3960097873141352,0.04705439488048184,0.5233298489024043,0.22053280116570054,0.18457980930659826,0.15353669739301212,0.058347386172006736,0.005163293103994425,0.054990655389781117,0.023504070448858057,0.0761823307675251,0.005270092226613966,0.037568110123315165,0.11805885520605658,0.05885520605657449,0.0,1409.3741496598639,0.0,0.0,0.0,0.0
63110-2016-09,Saint Louis,MO,851.0,16803.0,34.0,40005.0,0.0,330.0,0.0,6616.0,17.0,0.4812,3257.0,533.0,0.5093138130095817,2339.0,4417.0,4196.0,0.09131961866532863,1.3112710448528466,0.34121037463976944,0.046685878962536016,0.619948818663334,0.21531869309051954,0.2638219365589478,0.10825447836695827,0.16878538617669053,0.007260608224721777,0.3486877343331548,0.03219663155388919,0.023448193774921144,0.05729106628242075,0.03391871550426493,0.1243825507349878,0.11295601975837648,0.004700352526439483,760.0,5.0,1.0,3.0,0.0
43201-2015-09,Columbus,OH,1046.0,29389.0,22.4,21086.0,0.0,596.0,19.0,5272.0,17.0,0.5956,16273.0,2853.0,0.4499982986831808,1671.0,5601.0,6439.0,0.11123470522803114,1.3931208199426734,0.4048457529229469,0.02845471193125792,0.3542822144339719,0.1544795671850012,0.12143999455578618,0.0504610568580081,0.2453460933403251,0.005886556194494539,0.1223927319745483,0.06209806390145973,0.03899418149647827,0.060290181715734616,0.030735905391955975,0.27990064309775764,0.18020347749157847,0.0005899318300996329,579.0,2.0,0.0,0.0,0.0
10960-2016-09,Orangetown,NY,1824.0,15637.0,39.7,80795.0,408.0,847.0,16.0,2589.0,14.0,0.4911,1558.0,422.0,0.4777770672123809,3581.0,3228.0,2323.0,0.06571265025758444,1.4628410159924743,0.2994442185170124,0.23668157787718586,0.5749824135064271,0.21551448487561556,0.34936368868708834,0.07821193323527531,0.100042331028644,0.005819530600498817,0.16051672315661572,0.047707360746946335,0.16122018289953316,0.11074962721973702,0.06937607326846022,0.012470422715354607,0.0815373792927032,0.0,570.0,1.0,0.0,1.0,0.0
92660-2015-09,Newport Beach,CA,2650.0,34068.0,43.5,111109.0,5114.0,2272.0,424.0,48.0,27.0,0.5387,2593.0,196.0,0.5012328284607256,5619.0,9572.0,2043.0,0.08814717162032598,1.8444307015735588,0.39606993424985054,0.12059175134488942,0.5295291769402372,0.32508512386990723,0.3094692967007162,0.06487025948103793,0.08952702702702703,0.0013502406950804276,0.006310907596571563,0.08635669836796994,0.0837149230949865,0.005080693365212194,0.08742809204218598,0.06487025948103793,0.10646354350123284,0.0056306306306306295,3566.0,0.0,0.0,0.0,0.0
