RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
91104-2020-01,Pasadena,CA,2101.0,37974.0,40.1,74011.0,701.0,487.0,43.0,1985.0,14.0,0.4839,5670.0,478.0,0.5289408542687102,9407.0,9862.0,2185.0,0.0581365568816268,1.7032407407407408,0.2288747092849901,0.20013119446597888,0.561858113446042,0.21564754832253646,0.2047190182756623,0.1323800495075578,0.06263561406046579,0.003686733027861168,0.08055511665876652,0.10043714120187497,0.3819982093011007,0.044844653825511366,0.06827844081339958,0.01766998472639174,0.0550903249591826,0.0,1145.6888888888889,0.0,0.0,1.0,0.0
6770-2020-01,Naugatuck,CT,1119.0,31654.0,39.7,70638.0,16.0,189.0,320.0,813.0,0.0,0.4516,2710.0,130.0,0.4981992797118848,6623.0,7857.0,3403.0,0.06997781191329579,1.8314549180327868,0.1811898456172082,0.19165428589884376,0.5602767422758577,0.1708156946989322,0.17381689517912427,0.2394326151513237,0.057687665942553715,0.00271687622417388,0.07648322486889493,0.03058065331395716,0.11268718013521198,0.016084232284736127,0.030437503555783126,0.03212864093005623,0.04672395273899033,0.00104594094456513,1145.6888888888889,0.0,1.0,0.0,0.0
90220-2020-01,Compton,CA,2087.0,53703.0,31.4,53988.0,0.0,349.0,1466.0,2657.0,0.0,0.4095,11283.0,211.0,0.5240116939463345,12408.0,10110.0,1890.0,0.10149290159866574,1.9657265526685916,0.14095884517948473,0.2349792074948616,0.5055769696292572,0.08101968232687187,0.03342457590823604,0.16431111855948458,0.04476028850233348,0.0021414073701655407,0.3513025343090703,0.0076159618643278785,0.6043424017280227,0.06032216433248889,0.024407110604889558,0.03312664096977822,0.04487645010520828,0.0031112996747277607,1145.6888888888889,0.0,2.0,0.0,0.0
40502-2020-01,Lexington,KY,821.0,26797.0,37.2,65748.0,200.0,509.0,69.0,762.0,0.0,0.5505,3970.0,523.0,0.5082285330447438,4019.0,8344.0,2804.0,0.04598788796366389,1.7635829662261382,0.4271492569153097,0.05290478560762284,0.5327088853229839,0.2581259096167481,0.3548158375937605,0.08534537448221816,0.0942810698980346,0.004440795611449042,0.019218569242825688,0.02918237116095085,0.026271597566891812,0.008533029936713359,0.056396669190007576,0.15725640929954846,0.06620144045975296,0.00450716713462391,1145.6888888888889,2.0,0.0,0.0,0.0
76543-2020-01,Killeen,TX,627.0,30378.0,29.2,41950.0,8.0,151.0,697.0,249.0,1520.0,0.3967,5654.0,305.0,0.5146816775297913,9182.0,7761.0,3752.0,0.12168344007319305,1.5829901672409443,0.3554484803558191,0.11275018532246107,0.5173480808479821,0.1258476529067088,0.051023767199947334,0.17137402067285534,0.13581233205025786,0.007834617157153202,0.37217723352426096,0.02584106919481204,0.22193692804002896,0.004002965159377318,0.016961081004996832,0.12492593324116134,0.1433932451115939,0.0065364223981407505,1145.6888888888889,0.0,0.0,0.0,0.0
53216-2020-01,Milwaukee,WI,809.0,34313.0,34.9,35674.0,0.0,381.0,36.0,3130.0,0.0,0.4548,9077.0,220.0,0.5450703814880657,6999.0,8872.0,4665.0,0.10622622139018056,1.253864311276936,0.2006880733944954,0.114463876146789,0.5100982135050856,0.12817299565762247,0.07169294436510944,0.19995337044268932,0.08512713340299548,0.00329321248506397,0.8085273802931834,0.01521289307259639,0.045143240171363626,0.09446674311926606,0.03786460535056465,0.14437676682306996,0.014163728033106988,0.0,1145.6888888888889,0.0,0.0,1.0,0.0
46201-2020-01,Indianapolis,IN,664.0,29807.0,35.0,29313.0,0.0,61.0,86.0,1681.0,0.0,0.4977,10133.0,260.0,0.5128996544435871,6604.0,14489.0,1457.0,0.1375553060820181,1.2696090000786722,0.2526147704590818,0.1111377245508982,0.5876807461334586,0.1194014828731506,0.0550541819035797,0.24299661153420335,0.2424910607866508,0.010467339886603816,0.2528600664273493,0.005166571610695474,0.14660985674505989,0.05676646706586826,0.0204054678729446,0.062065957660952124,0.027007078874089974,0.0013706793802145411,1145.6888888888889,0.0,0.0,0.0,0.0
58501-2020-01,Bismarck,ND,755.0,30050.0,38.0,59444.0,20.0,549.0,253.0,774.0,47.0,0.4116,2665.0,280.0,0.4846921797004992,5582.0,8366.0,2923.0,0.015161347413131968,1.7727544462711105,0.5872074686179272,0.0331167602346559,0.5170382695507487,0.27041597337770384,0.09953410981697172,0.17381031613976705,0.06196551240712182,0.03034941763727121,0.03414309484193012,0.005723793677204659,0.02725457570715474,0.0075695451964927765,0.0317385404990856,0.0843261231281198,0.10622296173044923,0.01759428010654704,1145.6888888888889,1.0,0.0,0.0,5.0
55404-2020-01,Minneapolis,MN,1377.0,27195.0,30.6,26908.0,0.0,4744.0,19.0,570.0,0.0,0.5514,9593.0,2059.0,0.4773671630814488,5645.0,1401.0,2311.0,0.09195402298850576,0.8241155954160438,0.302278603749192,0.09760827407886233,0.5336275050560765,0.16389042103327814,0.11983820555249125,0.12785438499724214,0.09499473921539156,0.04074278359992646,0.3840044125758412,0.04559661702518845,0.12277992277992278,0.20224628312863607,0.035313668466971336,0.1365324508181651,0.1402831402831403,0.005636554937622125,1145.6888888888889,2.0,1.0,3.0,0.0
11105-2020-01,New York,NY,2203.0,37382.0,35.4,73959.0,753.0,902.0,0.0,3135.0,47.0,0.4384,3969.0,1430.0,0.4967096463538602,5770.0,2159.0,10969.0,0.04640381098209349,0.6906854130052724,0.06240597855097783,0.4779443878293784,0.6559841635011503,0.29936868011342355,0.24201487346851425,0.15732170563372747,0.11686594619452748,0.00714247498796212,0.02115991653737093,0.12166283237921995,0.2196779198544754,0.671762022613675,0.04202288290587385,0.08405114761114975,0.028810657535712374,0.0039664290641526784,1145.6888888888889,0.0,1.0,0.0,0.0
