,RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
490,72764-2020-01,Springdale,AR,954.0,56445.0,29.9,47245.0,0.0,448.0,862.0,308.0,68.0,0.4854,11293.0,160.0,0.4912038267339888,16848.0,11919.0,3547.0,0.04908357771260997,1.858815163284284,0.3802140720919251,0.0755548559735558,0.4955620515546107,0.10105412348303658,0.059473824076534676,0.1658960049605811,0.053484519001760385,0.011923110993002035,0.02331473115422092,0.02125963327132607,0.39966338913987065,0.0,0.016422287390029325,0.06927097174240411,0.07906811940827355,0.011597804701252977,,2.0,0.0,0.0,0.0
491,75024-2020-01,Plano,TX,1384.0,42876.0,36.5,96674.0,125.0,4429.0,51.0,39.0,35.0,0.434,1806.0,235.0,0.5054809217277731,7778.0,8860.0,1378.0,0.03658536585365853,1.6990860882319756,0.2601562857012293,0.19896723483982998,0.6242186771154026,0.3294383804459371,0.3693441552383618,0.05366638678981248,0.05157838416265383,0.006996921354603974,0.06840656777684485,0.3583589887116336,0.06586435301800543,0.010419046748617648,0.08608321377331421,0.05536897098609945,0.0935021923686911,0.028196896736222582,,2.0,0.0,1.0,0.0
492,89115-2020-01,Las Vegas,NV,961.0,61811.0,27.8,36050.0,0.0,1342.0,2395.0,52.0,717.0,0.4226,18497.0,447.0,0.5105240167607707,19289.0,9162.0,4780.0,0.12003097573567373,1.456223715112786,0.18607099246284053,0.15158532990862772,0.5026775169468217,0.058452379026386884,0.024542557150021842,0.18174758538124286,0.1628257887517147,0.0050961802915338705,0.20145281584184044,0.026645742667162804,0.545291291194124,0.07789801675860036,0.0037613393318091295,0.059358366633770684,0.17689408034168674,0.0076360310928212174,,0.0,0.0,0.0,0.0
493,66502-2020-01,Manhattan,KS,772.0,45697.0,25.2,43565.0,0.0,519.0,1405.0,768.0,787.0,0.4805,12164.0,2625.0,0.4850646650764821,7718.0,10098.0,4145.0,0.04843092729777017,1.7767932727580564,0.6165980795610425,0.04454127329944323,0.4196117907083616,0.17020810994157165,0.16688185220036325,0.07908615445215222,0.12347266881028937,0.002516576580519509,0.0502002319627109,0.04879970238746526,0.0752128148456135,0.003711772774953603,0.03730037598183375,0.1546053351423507,0.15237324113180295,0.01805589908483799,,2.0,0.0,0.0,0.0
494,11224-2020-01,New York,NY,2162.0,46707.0,45.5,33131.0,102.0,13738.0,32.0,1004.0,0.0,0.5292,12792.0,1575.0,0.5519087074742544,8106.0,1944.0,2820.0,0.09886278296320138,0.5497997329773031,0.112202852614897,0.5172741679873217,0.4668465112295802,0.21399361980003,0.2024107735457212,0.17335731260838844,0.0791285531621914,0.001455884556918663,0.20630740574218,0.05894191448819235,0.2037381977005588,0.5821236133122029,0.02397811393627293,0.06998950906716338,0.003104459716958914,0.0012786466017507625,,0.0,3.0,0.0,0.0
495,47374-2020-01,Richmond,IN,582.0,45489.0,41.0,41324.0,9.0,777.0,675.0,1894.0,8.0,0.4806,7763.0,844.0,0.5190925278638792,8066.0,15808.0,3874.0,0.06253534401508011,1.6027619821283507,0.548431105047749,0.0777101479693567,0.494778957550177,0.1382312207346831,0.09470421420563213,0.2559739717294291,0.1707831866355308,0.0023302336828683857,0.07091824397106992,0.013475785354701135,0.040207522697795074,0.001574142092559555,0.027379830348727617,0.06929147706038823,0.08248147903888853,0.002694449434165618,,2.0,0.0,3.0,0.0
496,77063-2020-01,Houston,TX,1282.0,38961.0,32.3,45262.0,80.0,4547.0,91.0,266.0,0.0,0.4976,8388.0,283.0,0.4803264803264803,11943.0,4842.0,3075.0,0.05870673706060196,1.336331617447846,0.18942642385108208,0.13670988245976895,0.579245912579246,0.26821693488360154,0.17332717332717332,0.10931444264777597,0.1083679582568364,0.004774004774004774,0.18033418033418036,0.09476142809476144,0.3366186699520033,0.06780003026787065,0.02662334732187176,0.15140781807448475,0.06935140268473602,0.01811769253067929,,0.0,0.0,1.0,0.0
497,78216-2020-01,San Antonio,TX,1004.0,41765.0,33.2,47944.0,18.0,1606.0,100.0,281.0,128.0,0.4621,7363.0,349.0,0.5062133365257991,9097.0,7249.0,5243.0,0.052341713613049685,1.4582290271875182,0.2748627070930823,0.07909917393511467,0.5603256315096372,0.2044534897641566,0.13650185562073505,0.16578474799473242,0.12807106598984772,0.0029211061893930326,0.055860169998802826,0.02614629474440321,0.5746677840296899,0.05653237343670681,0.03258219120491045,0.13626242068717825,0.0530587812761882,0.01137055837563452,,1.0,0.0,5.0,0.0
498,28262-2020-01,Charlotte,NC,1233.0,43046.0,27.3,53261.0,43.0,656.0,278.0,166.0,119.0,0.4264,7613.0,1130.0,0.4921014728430052,6571.0,7530.0,1241.0,0.05604695715974402,1.667899686520376,0.21303841676367868,0.11087310826542493,0.5099893137573759,0.2374901268410537,0.1622682711517911,0.07454815778469544,0.0903387703889586,0.02111694466384797,0.4438275333364308,0.1176183617525438,0.07933373600334526,0.01289871944121071,0.0524191904781315,0.13313664451981602,0.1461692143288575,0.03712786586061367,,0.0,4.0,0.0,0.0
499,85016-2020-01,Phoenix,AZ,1393.0,35167.0,38.4,56423.0,341.0,2892.0,259.0,1458.0,24.0,0.5333,6062.0,587.0,0.486763158643046,5674.0,10649.0,2881.0,0.045970925194955235,1.5022938548834963,0.2625480505216914,0.06254805052169138,0.6020416868086559,0.2605283362243012,0.19165695111894676,0.13034947536042313,0.1731057202755316,0.03258736884010578,0.04091904342138937,0.02363010777149032,0.30582648505701365,0.029544206479956068,0.06267449696736305,0.1038757926465152,0.10165780419142946,0.03224518318857941,,4.0,0.0,0.0,0.0
500,14120-2020-01,North Tonawanda,NY,822.0,44437.0,45.7,62998.0,18.0,836.0,11.0,1970.0,39.0,0.4106,3282.0,242.0,0.4967707090937732,8018.0,14379.0,4652.0,0.0459251054402931,1.7174687583089605,0.26795554310264313,0.06271598019986925,0.5386052163737426,0.2236199563426874,0.15624367081486149,0.22438508450165404,0.07791507306070412,0.004388235029367419,0.01858811350901276,0.00783131174471724,0.014807480252942368,0.005090127953675166,0.025177863928769226,0.01750793257870693,0.07090937732070121,0.0051976071393547135,,1.0,0.0,0.0,0.0
501,27513-2020-01,Cary,NC,1242.0,44821.0,40.0,92858.0,60.0,1046.0,82.0,29.0,0.0,0.4162,2443.0,167.0,0.5150710604404185,8301.0,12807.0,1770.0,0.0344591510725696,1.8705559599126589,0.27319887303787843,0.0672152408210724,0.6120791593226389,0.33636018830458936,0.31317909015863105,0.08371076058097766,0.05442320927523956,0.005778541308761518,0.08380000446219406,0.1268378661788001,0.0739608665580866,0.004382630472698001,0.09691160809371673,0.059592601682247164,0.10936837643069096,0.032452750277939535,,0.0,0.0,0.0,0.0
502,20171-2020-01,Herndon,VA,1793.0,50342.0,36.2,141559.0,644.0,2468.0,12.0,66.0,201.0,0.3641,1546.0,459.0,0.5012117118906678,11872.0,11770.0,845.0,0.038294498828071136,1.9393440695897497,0.21183469251073556,0.2303904187842257,0.5879385006555162,0.2714631917683048,0.4428906281037702,0.06342616503118667,0.037778531840289564,0.005383179055262008,0.0912756743871916,0.3387231337650471,0.07770847403758294,0.07508962691565221,0.07831242244588446,0.029259862540224862,0.1420682531484645,0.03172718018323719,,0.0,0.0,0.0,0.0
503,11691-2020-01,New York,NY,2216.0,67094.0,31.1,46147.0,132.0,7985.0,0.0,2322.0,31.0,0.4982,13848.0,1718.0,0.5408978448147376,21016.0,4334.0,6449.0,0.09437743943176624,0.8239778576284355,0.13908725272921285,0.5123532791594845,0.4755268727457001,0.1364205443109667,0.1058365874742898,0.14718156616090858,0.06923980837024317,0.004158345008495544,0.4426774376248249,0.03457835275881599,0.2636301308611798,0.4062628252482968,0.025493160800309438,0.07569976450949414,0.01603720153814052,0.0002259784868480521,,1.0,5.0,0.0,0.0
504,76133-2020-01,Fort Worth,TX,1113.0,51369.0,35.6,53696.0,0.0,790.0,59.0,349.0,7.0,0.4297,9630.0,195.0,0.5283342093480504,10767.0,15217.0,1829.0,0.07236944057027739,1.7438129653964085,0.19166882948351932,0.14521152348819102,0.5020343008429208,0.15192041892970468,0.09538826918958904,0.20677840721057447,0.09152407481098288,0.006657711849559073,0.2232085499036384,0.017442426366096282,0.3621444840273317,0.007829397006661475,0.0199907019990702,0.08555743736494772,0.029842901360742864,0.0003979307600477517,,0.0,0.0,0.0,0.0
505,89502-2020-01,Reno,NV,1104.0,45772.0,35.0,42017.0,26.0,1464.0,1380.0,708.0,17.0,0.4282,8230.0,1245.0,0.4775845495062484,10470.0,8613.0,5590.0,0.060885535193835584,1.4861553408538892,0.426202542900329,0.08051035831777363,0.5338198024993446,0.13368434851000613,0.053504325788691784,0.1852661015467972,0.07862542271732642,0.019466049112994845,0.019815607795158608,0.05354802062396225,0.4344795945119287,0.04556770694407398,0.02678963548528766,0.1224766232631303,0.0894433277986542,0.0027352297592997806,,4.0,0.0,4.0,1.0
